Value,Gene,Bac,Cell
0.07125365,hrcA,JX0811,1640
0.06982832,hrcA,JX0811,1640
0.0695679,hrcA,JX0811,1640
0.07620985,hrcA,JX0811,1640
0.07484625,hrcA,JX0811,1640
0.07701904,hrcA,JX0811,1640
0.06798711,GrpE,JX0811,1640
0.06836124,GrpE,JX0811,1640
0.07000376,GrpE,JX0811,1640
0.07302641,GrpE,JX0811,1640
0.07013394,GrpE,JX0811,1640
0.06565699,GrpE,JX0811,1640
0.13719453,DnaK,JX0811,1640
0.12797749,DnaK,JX0811,1640
0.11500861,DnaK,JX0811,1640
0.11225322,DnaK,JX0811,1640
0.1203191,DnaK,JX0811,1640
0.12019568,DnaK,JX0811,1640
0.11184152,DnaJ,JX0811,1640
0.10704481,DnaJ,JX0811,1640
0.11516515,DnaJ,JX0811,1640
0.10555547,DnaJ,JX0811,1640
0.11803955,DnaJ,JX0811,1640
0.11719086,DnaJ,JX0811,1640
0.11586511,D-C H-P,JX0811,1640
0.12293986,D-C H-P,JX0811,1640
0.11945107,D-C H-P,JX0811,1640
0.11521196,D-C H-P,JX0811,1640
0.10612531,D-C H-P,JX0811,1640
0.11784847,D-C H-P,JX0811,1640
0.88238483,hrcA,HA9801,1640
0.92265125,hrcA,HA9801,1640
1.0117694,hrcA,HA9801,1640
0.81659301,hrcA,HA9801,1640
1.0195543,hrcA,HA9801,1640
1.17307494,hrcA,HA9801,1640
0.65350277,GrpE,HA9801,1640
1.88936212,GrpE,HA9801,1640
1.26514544,GrpE,HA9801,1640
1.12303962,GrpE,HA9801,1640
1.13734837,GrpE,HA9801,1640
1.05773354,GrpE,HA9801,1640
1.63968876,DnaK,HA9801,1640
1.54664101,DnaK,HA9801,1640
1.56797188,DnaK,HA9801,1640
1.59669548,DnaK,HA9801,1640
1.87844881,DnaK,HA9801,1640
1.5349183,DnaK,HA9801,1640
1.77845688,DnaJ,HA9801,1640
0.6790154,DnaJ,HA9801,1640
1.22023182,DnaJ,HA9801,1640
1.27343652,DnaJ,HA9801,1640
1.23778659,DnaJ,HA9801,1640
1.20556018,DnaJ,HA9801,1640
1.50768903,D-C H-P,HA9801,1640
0.95248384,D-C H-P,HA9801,1640
0.88569821,D-C H-P,HA9801,1640
1.30696279,D-C H-P,HA9801,1640
0.92291691,D-C H-P,HA9801,1640
1.04163322,D-C H-P,HA9801,1640
