value,volume,group,time
2.09225,38.5,C,1
2.04575,38.5,C,1
2.12095,38.5,C,1
2.07945,38.5,C,1
2.1129,38.5,C,1
2.204,38.5,C,1
1.85235,40.3,Q,1
1.84995,40.3,Q,1
1.8877,40.3,Q,1
1.8159,40.3,Q,1
1.7541,40.3,Q,1
1.91745,40.3,Q,1
1.5427,49.4,H,1
1.5824,49.4,H,1
1.6589,49.4,H,1
1.5836,49.4,H,1
1.52615,49.4,H,1
1.5466,49.4,H,1
1.8392,10.5,CQ1,1
1.8681,10.5,CQ1,1
1.8427,10.5,CQ1,1
1.8432,10.5,CQ1,1
1.74245,10.5,CQ1,1
1.85315,10.5,CQ1,1
1.6233,11.1,CH1,1
1.6687,11.1,CH1,1
1.71375,11.1,CH1,1
1.64275,11.1,CH1,1
1.6372,11.1,CH1,1
1.63845,11.1,CH1,1
1.472,26.2,CQ2,1
1.4985,26.2,CQ2,1
1.54715,26.2,CQ2,1
1.4726,26.2,CQ2,1
1.5365,26.2,CQ2,1
1.56745,26.2,CQ2,1
1.69785,10.5,CH2,1
1.7105,10.5,CH2,1
1.81795,10.5,CH2,1
1.63315,10.5,CH2,1
1.6924,10.5,CH2,1
1.78015,10.5,CH2,1
1.6458,30.1,CQ1.1,1
1.68925,30.1,CQ1.1,1
1.6846,30.1,CQ1.1,1
1.6463,30.1,CQ1.1,1
1.645,30.1,CQ1.1,1
1.75155,30.1,CQ1.1,1
1.72685,32.4,CH1.1,1
1.6849,32.4,CH1.1,1
1.7053,32.4,CH1.1,1
1.7063,32.4,CH1.1,1
1.6317,32.4,CH1.1,1
1.6466,32.4,CH1.1,1
1.8232915,25.5,C,2
1.8804415,25.5,C,2
1.9582415,25.5,C,2
2.1088415,25.5,C,2
1.8227415,25.5,C,2
1.9891915,25.5,C,2
1.4565415,27.5,Q,2
1.6459415,27.5,Q,2
1.5497415,27.5,Q,2
1.5446415,27.5,Q,2
1.5647915,27.5,Q,2
1.6348915,27.5,Q,2
1.3484415,45,H,2
1.3581415,45,H,2
1.3308915,45,H,2
1.3663415,45,H,2
1.3897415,45,H,2
1.4344915,45,H,2
1.4519415,8,CQ1,2
1.5277915,8,CQ1,2
1.5556915,8,CQ1,2
1.5208415,8,CQ1,2
1.5074915,8,CQ1,2
1.7307415,8,CQ1,2
1.4329915,9,CH1,2
1.5040915,9,CH1,2
1.5183915,9,CH1,2
1.4774915,9,CH1,2
