Concentration,OD Values,Protein
80.466,0.326,C4
88.958,0.354,Q4
540.487,1.003,CQ1-3
386.646,0.886,CH1-3
103.435,0.4,CQ2-7
479.267,0.962,CH2-3
96.187,0.378,CQ1.1-3
87.041,0.348,CH1.1-3
13.57,0.053,Q脱2
1.01,-0.005,H脱2
1.922,-0.001,CQ1脱1
6.051,0.018,CH1脱1
4.722,0.012,H脱3
107.87,0.413,C脱除
17.503,0.072,Q脱除
10.787,0.04,H脱除
109.19,0.417,CQ2-2
78.806,0.32,CQ2-3
134.592,0.487,CQ2-5
145.444,0.515,CQ2-6
115.927,0.437,CQ2-8
81.666,0.318,C4
89.034,0.343,Q4
506.035,1.006,CQ1-3
313.952,0.819,CH1-3
98.471,0.373,CQ2-7
470.838,0.979,CH2-3
95.507,0.364,CQ1.1-3
88.223,0.34,CH1.1-3
0.207,-0.003,Q脱2
3.904,0.01,H脱2
5.865,0.018,CQ1脱1
5.318,0.016,CH1脱1
3.698,0.009,H脱3
107.676,0.402,C脱除
20.296,0.079,Q脱除
11.721,0.042,H脱除
103.298,0.389,CQ2-2
74.873,0.294,CQ2-3
120.007,0.439,CQ2-5
131.241,0.47,CQ2-6
106.859,0.4,CQ2-8

