"","Time","Names","Data"
"1",0,"JX0811",0.1025
"2",0,"JX0811",0.1029
"3",0,"JX0811",0.1001
"4",0,"JX0811",0.0928
"5",0,"JX0811",0.1182
"6",0,"JX0811",0.1176
"7",0,"HA9801",0.0834
"8",0,"HA9801",0.0892
"9",0,"HA9801",0.0915
"10",0,"HA9801",0.0899
"11",0,"HA9801",0.091
"12",0,"HA9801",0.112
"13",0,"hrcA-YR",0.0835
"14",0,"hrcA-YR",0.0869
"15",0,"hrcA-YR",0.0944
"16",0,"hrcA-YR",0.0966
"17",0,"hrcA-YR",0.1162
"18",0,"hrcA-YR",0.1147
"19",0,"GrpE-YR",0.0972
"20",0,"GrpE-YR",0.0968
"21",0,"GrpE-YR",0.0897
"22",0,"GrpE-YR",0.0772
"23",0,"GrpE-YR",0.0798
"24",0,"GrpE-YR",0.1254
"25",0,"DC-HP-WR",0.1016
"26",0,"DC-HP-WR",0.0853
"27",0,"DC-HP-WR",0.0919
"28",0,"DC-HP-WR",0.0951
"29",0,"DC-HP-WR",0.1032
"30",0,"DC-HP-WR",0.1042
"31",0,"DnaJ-YR",0.0936
"32",0,"DnaJ-YR",0.0837
"33",0,"DnaJ-YR",0.0932
"34",0,"DnaJ-YR",0.0946
"35",0,"DnaJ-YR",0.0897
"36",0,"DnaJ-YR",0.101
"37",0,"DC-YR",0.0919
"38",0,"DC-YR",0.0901
"39",0,"DC-YR",0.0878
"40",0,"DC-YR",0.0948
"41",0,"DC-YR",0.0989
"42",0,"DC-YR",0.1041
"43",0,"BHI",0.0841
"44",0,"BHI",0.0782
"45",0,"BHI",0.0937
"46",0,"BHI",0.0927
"47",0,"BHI",0.0834
"48",0,"BHI",0.1096
"49",2,"JX0811",0.0966
"50",2,"JX0811",0.0999
"51",2,"JX0811",0.1105
"52",2,"JX0811",0.1001
"53",2,"JX0811",0.1155
"54",2,"JX0811",0.1091
"55",2,"HA9801",0.072
"56",2,"HA9801",0.0744
"57",2,"HA9801",0.119
"58",2,"HA9801",0.1071
"59",2,"HA9801",0.1056
"60",2,"HA9801",0.1081
"61",2,"hrcA-YR",0.0615
"62",2,"hrcA-YR",0.1659
"63",2,"hrcA-YR",0.1074
"64",2,"hrcA-YR",0.1674
"65",2,"hrcA-YR",0.1233
"66",2,"hrcA-YR",0.1284
