"","Time","Names","Data"
"1",0,"JX0811",0.0869
"2",0,"JX0811",0.0881
"3",0,"JX0811",0.0921
"4",0,"JX0811",0.1094
"5",0,"JX0811",0.119
"6",0,"JX0811",0.1104
"7",0,"HA9801",0.0846
"8",0,"HA9801",0.0997
"9",0,"HA9801",0.1001
"10",0,"HA9801",0.1032
"11",0,"HA9801",0.0942
"12",0,"HA9801",0.1018
"13",0,"hrcA-YR",0.0835
"14",0,"hrcA-YR",0.0969
"15",0,"hrcA-YR",0.0984
"16",0,"hrcA-YR",0.1022
"17",0,"hrcA-YR",0.1087
"18",0,"hrcA-YR",0.0919
"19",0,"GrpE-YR",0.0906
"20",0,"GrpE-YR",0.1009
"21",0,"GrpE-YR",0.1088
"22",0,"GrpE-YR",0.0955
"23",0,"GrpE-YR",0.0957
"24",0,"GrpE-YR",0.0899
"25",0,"DC-HP-WR",0.0904
"26",0,"DC-HP-WR",0.0953
"27",0,"DC-HP-WR",0.0937
"28",0,"DC-HP-WR",0.0909
"29",0,"DC-HP-WR",0.1094
"30",0,"DC-HP-WR",0.1067
"31",0,"DnaJ-YR",0.088
"32",0,"DnaJ-YR",0.0935
"33",0,"DnaJ-YR",0.0975
"34",0,"DnaJ-YR",0.0942
"35",0,"DnaJ-YR",0.0965
"36",0,"DnaJ-YR",0.1043
"37",0,"DC-YR",0.0905
"38",0,"DC-YR",0.0931
"39",0,"DC-YR",0.0986
"40",0,"DC-YR",0.0961
"41",0,"DC-YR",0.0886
"42",0,"DC-YR",0.0916
"43",0,"BHI",0.0975
"44",0,"BHI",0.0846
"45",0,"BHI",0.0903
"46",0,"BHI",0.0878
"47",0,"BHI",0.0896
"48",0,"BHI",0.0951
"49",2,"JX0811",0.1687
"50",2,"JX0811",0.1914
"51",2,"JX0811",0.2113
"52",2,"JX0811",0.2126
"53",2,"JX0811",0.1719
"54",2,"JX0811",0.1646
"55",2,"HA9801",0.1335
"56",2,"HA9801",0.1784
"57",2,"HA9801",0.1804
"58",2,"HA9801",0.1902
"59",2,"HA9801",0.1716
"60",2,"HA9801",0.1704
"61",2,"hrcA-YR",0.1173
"62",2,"hrcA-YR",0.2055
"63",2,"hrcA-YR",0.1894
"64",2,"hrcA-YR",0.2021
"65",2,"hrcA-YR",0.1896
"66",2,"hrcA-YR",0.1909
"67",2,"GrpE-YR",0.1088
"68",2,"GrpE-YR",0.1484
"69",2,"GrpE-YR",0.1143
"70",2,"GrpE-YR",0.1692
"71",2,"GrpE-YR",0.1734
"72",2,"GrpE-YR",0.1775
"73",2,"DC-HP-WR",0.1202
"74",2,"DC-HP-WR",0.1806
"75",2,"DC-HP-WR",0.1991
"76",2,"DC-HP-WR",0.2154
"77",2,"DC-HP-WR",0.2003
"78",2,"DC-HP-WR",0.2075
"79",2,"DnaJ-YR",0.0997
"80",2,"DnaJ-YR",0.1742
"81",2,"DnaJ-YR",0.1672
"82",2,"DnaJ-YR",0.1479
"83",2,"DnaJ-YR",0.167
"84",2,"DnaJ-YR",0.1792
"85",2,"DC-YR",0.1025
"86",2,"DC-YR",0.1737
"87",2,"DC-YR",0.1622
"88",2,"DC-YR",0.1312
"89",2,"DC-YR",0.1574
