Time,Names,Data,Temperature
0,JX0811,0.1025,28
0,JX0811,0.1029,28
0,JX0811,0.1001,28
0,JX0811,0.0928,28
0,JX0811,0.1182,28
0,JX0811,0.1176,28
0,HA9801,0.0834,28
0,HA9801,0.0892,28
0,HA9801,0.0915,28
0,HA9801,0.0899,28
0,HA9801,0.091,28
0,HA9801,0.112,28
0,hrcA-YR,0.0835,28
0,hrcA-YR,0.0869,28
0,hrcA-YR,0.0944,28
0,hrcA-YR,0.0966,28
0,hrcA-YR,0.1162,28
0,hrcA-YR,0.1147,28
0,GrpE-YR,0.0972,28
0,GrpE-YR,0.0968,28
0,GrpE-YR,0.0897,28
0,GrpE-YR,0.0772,28
0,GrpE-YR,0.0798,28
0,GrpE-YR,0.1254,28
0,DC-HP-WR,0.1016,28
0,DC-HP-WR,0.0853,28
0,DC-HP-WR,0.0919,28
0,DC-HP-WR,0.0951,28
0,DC-HP-WR,0.1032,28
0,DC-HP-WR,0.1042,28
0,DnaJ-YR,0.0936,28
0,DnaJ-YR,0.0837,28
0,DnaJ-YR,0.0932,28
0,DnaJ-YR,0.0946,28
0,DnaJ-YR,0.0897,28
0,DnaJ-YR,0.101,28
0,DC-YR,0.0919,28
0,DC-YR,0.0901,28
0,DC-YR,0.0878,28
0,DC-YR,0.0948,28
0,DC-YR,0.0989,28
0,DC-YR,0.1041,28
0,BHI,0.0841,28
0,BHI,0.0782,28
0,BHI,0.0937,28
0,BHI,0.0927,28
0,BHI,0.0834,28
0,BHI,0.1096,28
2,JX0811,0.0966,28
2,JX0811,0.0999,28
2,JX0811,0.1105,28
2,JX0811,0.1001,28
2,JX0811,0.1155,28
2,JX0811,0.1091,28
2,HA9801,0.072,28
2,HA9801,0.0744,28
2,HA9801,0.119,28
2,HA9801,0.1071,28
2,HA9801,0.1056,28
2,HA9801,0.1081,28
2,hrcA-YR,0.0615,28
2,hrcA-YR,0.1659,28
2,hrcA-YR,0.1074,28
2,hrcA-YR,0.1674,28
2,hrcA-YR,0.1233,28
2,hrcA-YR,0.1284,28
2,GrpE-YR,0.1137,28
2,GrpE-YR,0.111,28
2,GrpE-YR,0.1083,28
2,GrpE-YR,0.111,28
2,GrpE-YR,0.1159,28
2,GrpE-YR,0.1284,28
2,DC-HP-WR,0.1219,28
2,DC-HP-WR,0.1336,28
2,DC-HP-WR,0.1551,28
2,DC-HP-WR,0.1502,28
2,DC-HP-WR,0.1523,28
2,DC-HP-WR,0.1414,28
2,DnaJ-YR,0.1129,28
2,DnaJ-YR,0.1053,28
2,DnaJ-YR,0.1163,28
2,DnaJ-YR,0.1075,28
2,DnaJ-YR,0.1116,28
2,DnaJ-YR,0.1182,28
2,DC-YR,0.1187,28
