Bac,Gene,Cell,Mean,SD
JX0811,hrcA,Hep-2,0.491218399,0.041939059
JX0811,hrcA,Raw264.7,0.826287677,0.019759999
JX0811,hrcA,1640,0.071153221,0.003591021
JX0811,GrpE,Hep-2,0.441970223,0.04839624
JX0811,GrpE,Raw264.7,1.018552316,0.039595986
JX0811,GrpE,1640,0.070244919,0.001904589
JX0811,DnaK,Hep-2,0.349903143,0.029395034
JX0811,DnaK,Raw264.7,0.485841765,0.010508539
JX0811,DnaK,1640,0.115727492,0.009038396
JX0811,DnaJ,Hep-2,0.397295146,0.015536096
JX0811,DnaJ,Raw264.7,0.703880001,0.016629373
JX0811,DnaJ,1640,0.113691245,0.006015827
JX0811,D-C H-P,Hep-2,0.393713947,0.01464692
JX0811,D-C H-P,Raw264.7,0.634976757,0.006348053
JX0811,D-C H-P,1640,0.115465126,0.006428664
HA9801,hrcA,Hep-2,0.347173312,0.052485889
HA9801,hrcA,Raw264.7,0.813672484,0.065743719
HA9801,hrcA,1640,1.069287352,0.275192674
HA9801,GrpE,Hep-2,0.302633288,0.068279319
HA9801,GrpE,Raw264.7,0.78292275,0.037791761
HA9801,GrpE,1640,1.301404482,0.377632631
HA9801,DnaK,Hep-2,0.395403082,0.061343329
HA9801,DnaK,Raw264.7,0.847080232,0.0783421
HA9801,DnaK,1640,1.235476388,0.548504828
HA9801,DnaJ,Hep-2,0.442315788,0.043101812
HA9801,DnaJ,Raw264.7,0.826670827,0.073933976
HA9801,DnaJ,1640,1.256819954,0.284517631
HA9801,D-C H-P,Hep-2,0.420904976,0.047485214
HA9801,D-C H-P,Raw264.7,0.901693847,0.104972012
HA9801,D-C H-P,1640,0.989222723,0.258066359
