Protein,1,2,SD1,SD2,SE1,SE2
C,9,260.375,8.185352772,122.9480963,2.893959226,43.4687163
Q,19.625,322.75,21.25404373,141.5068461,7.514439226,50.03022524
H,15.25,298.125,11.44279249,108.0560474,4.045638083,38.20358192
CQ1,9.625,252.125,15.17347604,99.11412298,5.364633899,35.04213424
CH1,10.75,210.625,12.72546659,104.1884561,4.499131861,36.8361819
CQ2,11.5,79,19.33907961,79.74960815,6.837397166,28.19574436
CH2,6.25,316.875,5.804093383,178.7955799,2.052056895,63.21378348
CQ3,12.625,220.25,10.42757762,81.5103521,3.686705423,28.81826135
CH3,15.5,256.875,13.22875656,85.34992311,4.677071733,30.1757547


