 	liver	liver	liver	lung	lung	lung	spleen	spleen	spleen
TMEM171	5.6576	6.7314	6.9048	5.6803	5.2193	6.8132	3.9354	5.146	3.961
C6orf130	5.6754	6.9068	6.2283	6.9159	4.8813	7.9716	2.9503	4.3635	4.3266
TMPRSS15	5.3741	7.441	6.38	8.1599	7.1838	8.4557	5.5687	6.2509	5.7948
NFKBIA	6.4094	7.4769	7.4682	6.4064	3.5231	6.9522	2.78	4.845	2.7309
C17orf52	4.4038	5.7457	5.0877	6.3401	6.3804	7.6598	3.5957	4.4095	2.9398
ESM1	6.0198	6.4032	6.5791	4.6612	3.398	5.7912	5.0085	6.0141	4.3485
LOC728606	4.2365	4.2662	4.6127	4.1228	4.907	4.3328	5.1547	7.9175	5.4452
UTY	3.8653	3.6796	4.156	5.1259	4.1914	6.7633	3.3845	2.839	3.2124
WASL	5.7716	5.4987	5.1291	4.1568	3.6184	6.2075	3.9023	6.6487	5.7686
CCL19	7.2793	6.8655	7.2359	8.1218	6.9049	7.881	4.717	6.2946	5.7046
WIPF2	3.9046	5.3232	4.4686	5.8761	3.5281	7.3984	4.007	3.9468	3.5217
UTP23	5.7156	6.3841	6.8334	6.896	5.863	7.5962	3.8971	7.4279	5.8905
LOC100240734	4.4006	4.7689	4.9603	6.1617	4.1443	6.8723	4.1881	5.0875	7.0692
SEBOX	8.358	8.528	8.9749	8.2085	7.4643	8.7736	6.1028	6.7269	5.5492
CALHM1	4.3907	4.5506	5.2172	3.1145	3.7767	5.4425	2.3681	4.815	2.5772
ITGBL1	9.0961	8.7115	8.872	10.4675	10.0937	10.3008	7.711	6.7768	7.2888
TNFRSF25	5.6262	6.0418	7.4962	6.2496	4.9291	7.2809	3.1909	6.5781	4.733
SAMD4A	4.4463	3.9155	4.2916	3.8019	4.2898	6.4687	3.0826	3.2099	2.8613
VDR	3.6391	4.9675	4.9587	3.6455	2.7902	6.1857	2.6919	3.3796	3.5802
OGFOD1	3.8071	2.9344	4.8786	5.9357	3.269	6.6371	7.2027	6.0443	6.6116
ANO4	4.2821	4.9137	5.3672	5.7801	3.542	6.8289	3.2099	3.3228	4.1586
SOX1	5.8208	3.837	6.0306	5.2897	3.1166	6.8108	3.1237	3.743	4.1619
TSPAN3	4.0104	4.7086	5.5335	6.0175	5.5693	6.8742	3.321	3.4025	4.2109
PCGF5	3.6387	3.9579	3.7273	4.6819	2.7957	6.1084	5.0054	2.8517	3.5704
RBM5	6.4903	6.8809	7.7874	6.5801	5.5151	7.1003	4.415	4.6324	3.7589
PXDN	5.9498	2.5144	3.7692	2.5026	3.6184	2.8847	5.5964	2.7875	4.5258
HPS6	2.9835	2.9879	4.1032	5.3337	3.3582	5.9309	5.6639	4.3339	4.8435
ODZ4	8.3579	7.8328	8.3574	7.7186	6.6725	8.4889	3.8488	8.476	7.6602
CDKN2D	8.3339	8.3423	8.5694	6.9581	5.9079	8.7763	2.8229	7.1441	2.4441
PLXNB1	6.0391	6.0156	5.5844	6.6654	6.1664	7.5995	3.9422	5.6271	4.3214
ANK2	6.5516	6.9968	7.5569	6.9344	4.6102	7.3553	5.1928	6.6351	5.1266
ERG	3.5148	3.4986	4.095	5.0045	4.0603	6.9011	3.4919	4.0921	3.3829
ARHGEF38	5.3922	7.4019	7.0305	7.8813	7.2903	8.2957	5.2655	6.74	5.9803
C17orf42	6.048	5.5454	5.8774	5.5245	2.938	6.2133	2.8721	6.8506	5.8726
SLC22A18	6.0045	7.8077	6.8754	6.6614	5.0332	7.2746	4.6071	5.3668	3.5821
PIGR	4.7968	4.8295	5.4465	6.1874	4.0734	7.7328	4.6424	5.0558	4.2891
FLJ35816	7.3654	7.2481	7.9629	6.3688	4.701	7.2023	4.9422	7.9441	5.7528
UGT2B28	4.0999	4.6095	6.0313	6.2194	5.2851	7.3001	3.966	4.7632	3.5744
ANKRD44	2.9048	5.489	3.1472	4.1765	3.7692	6.2809	3.1935	3.5259	3.2285
KIAA1407	7.726	6.7715	6.936	6.9501	5.8924	8.163	4.1351	4.8645	4.7703
HIST1H2AB	4.4031	2.4219	4.4897	4.0602	5.1246	5.3828	2.6251	4.0503	2.9436
RGS14	9.4334	10.2126	9.8267	9.815	9.5352	10.3653	5.6666	9.6148	8.3498
SCARB1	6.0812	6.2529	7.341	6.4463	6.0018	7.1153	4.6209	5.75	3.5909
CLDN15	5.6774	5.4652	5.6716	6.5014	4.4023	7.831	3.6083	5.3516	4.3352
LOC100287576	4.2225	6.5817	6.9002	4.9493	5.6601	5.6029	3.6099	6.474	5.7244
KLF5	5.0172	6.036	5.5572	6.652	5.6716	7.4203	3.1076	6.3689	3.2578
NRL	7.0325	8.6037	8.7733	8.4769	6.8042	9.1991	5.7267	6.5089	5.1374
POF1B	6.8863	7.1336	7.8569	6.5396	5.0496	7.51	4.2606	5.3769	3.7255
RASL11A	4.9516	6.674	6.9503	8.4688	7.7489	8.7463	5.4689	7.5127	6.6198
ERAP1	5.3767	5.6213	5.2381	5.72	3.5846	7.0602	3.727	6.2024	5.8559
PCP2	5.0383	5.9026	4.1841	5.6174	3.618	7.1251	3.6021	4.4041	3.2859
ODF3	3.6023	3.414	4.7826	3.5417	4.2107	5.9803	2.455	2.7206	4.4098
CD276	6.6954	4.8762	7.5867	7.331	5.5966	7.7423	5.3124	5.3707	4.4478
C2orf72	5.6465	6.2695	6.1361	6.4269	4.0825	7.4769	4.5292	4.6197	4.8775
LOC100289612	4.5138	3.4775	6.1043	3.7333	3.1434	4.5746	3.0243	4.4717	2.6412
VENTXP1	5.6698	7.7668	7.6076	8.0408	5.7246	7.9148	5.9965	7.3318	5.502
GDNF	5.5613	5.8742	7.5615	7.3326	6.2454	7.7773	5.2551	8.4996	7.5811
MGC13053	8.0126	8.4921	8.2958	8.6279	7.53	9.1265	4.1633	7.1323	6.7529
CYSLTR1	4.8684	5.9288	5.0266	5.5187	3.4261	7.1615	2.9141	4.14	4.1924
RALGAPA1	5.1834	4.4258	5.456	4.6815	4.96	6.507	2.5837	4.04	3.5376
DTWD1	2.6869	2.5144	2.0992	2.4239	2.9166	2.4392	2.8229	9.1129	4.8762
LOC151534	8.6002	8.1287	9.0907	8.1445	6.6649	8.6812	4.015	7.5052	4.2463
PKNOX1	3.6113	3.9541	3.6621	4.5109	3.9186	6.9941	3.9425	4.2483	3.5973
