#chrom	strand	txStart
chr1	+	11873
chr1	+	11873
chr1	+	11873
chr1	-	14361
chr1	-	16857
chr1	-	15795
chr1	-	14361
chr1	-	14361
chr1	-	14361
chr1	-	16857
chr1	-	14361
chr1	-	14361
chr1	-	14361
chr1	-	14361
chr1	-	14406
chr1	-	14406
chr1	-	15602
chr1	-	16606
chr1	-	16606
chr1	-	16857
chr1	-	17232
chr1	-	17605
chr1	-	16857
chr1	-	34610
chr1	+	69090
chr1	-	134772
chr1	+	321083
chr1	+	321145
chr1	+	324287
chr1	+	322036
chr1	+	327545
chr1	+	323891
chr1	+	367658
chr1	+	420205
chr1	-	566092
chr1	-	566134
chr1	-	566239
chr1	+	568843
chr1	-	621095
chr1	-	661138
chr1	-	668417
chr1	-	668509
chr1	-	661138
chr1	-	671823
chr1	-	671915
chr1	-	661138
chr1	-	674239
chr1	-	700244
chr1	-	761585
chr1	+	762970
chr1	+	762970
chr1	+	762970
chr1	+	762970
chr1	+	762970
chr1	+	763177
chr1	-	803450
chr1	+	846814
chr1	-	852952
chr1	-	852952
chr1	+	860529
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	874654
chr1	+	861120
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	861301
chr1	+	876523
chr1	-	879582
chr1	-	879582
chr1	-	879582
chr1	-	879582
chr1	-	893648
chr1	+	896828
chr1	+	897008
chr1	+	897734
chr1	+	895966
chr1	+	897460
chr1	+	901876
chr1	+	901876
chr1	+	901876
chr1	-	910578
chr1	-	910578
chr1	-	934341
chr1	-	934341
chr1	+	948846
chr1	+	955502
chr1	+	995082
chr1	+	995116
chr1	-	1007196
chr1	-	1007125
chr1	-	1017197
chr1	-	1017197
chr1	-	1017197
chr1	-	1017197
chr1	-	1017197
chr1	-	1017197
chr1	+	1072396
chr1	+	1102483
chr1	-	1103295
chr1	+	1103242
chr1	-	1104434
chr1	+	1104384
chr1	-	1108435
chr1	+	1115076
chr1	+	1109285
chr1	+	1109285
chr1	-	1138887
chr1	-	1138887
chr1	-	1138887
chr1	-	1138887
chr1	-	1146705
chr1	-	1146719
chr1	-	1152287
chr1	-	1158103
chr1	-	1152287
chr1	-	1152287
chr1	-	1152287
chr1	+	1167628
chr1	-	1177825
chr1	-	1189291
chr1	-	1189291
chr1	-	1189291
chr1	-	1189291
chr1	-	1189291
chr1	+	1215815
chr1	+	1215815
chr1	+	1217488
chr1	+	1217488
chr1	+	1217536
chr1	-	1227763
chr1	-	1227763
chr1	-	1227763
chr1	-	1234123
chr1	+	1243993
chr1	+	1243993
chr1	+	1244465
chr1	-	1246964
chr1	-	1246964
chr1	-	1246964
chr1	-	1246964
chr1	-	1246964
chr1	-	1246964
chr1	-	1246964
chr1	-	1246964
chr1	-	1246964
chr1	-	1254060
chr1	-	1254076
chr1	+	1260142
chr1	+	1266725
chr1	-	1270657
chr1	-	1270657
chr1	-	1270657
chr1	-	1288070
chr1	-	1288070
chr1	-	1288070
chr1	-	1288070
chr1	-	1288070
chr1	-	1309109
chr1	-	1309109
chr1	-	1309109
chr1	-	1309109
chr1	-	1321090
chr1	-	1321090
chr1	-	1321090
chr1	-	1321090
chr1	-	1321090
chr1	-	1326145
chr1	+	1334909
chr1	+	1334911
chr1	-	1337275
chr1	-	1340412
chr1	-	1353799
chr1	-	1353799
chr1	-	1353799
chr1	+	1361507
chr1	+	1370902
chr1	+	1370902
chr1	+	1385068
chr1	+	1413405
chr1	+	1407163
chr1	+	1413405
chr1	+	1421161
chr1	+	1467448
chr1	+	1447522
chr1	+	1447522
chr1	+	1447909
chr1	-	1470157
chr1	-	1477052
chr1	-	1478559
chr1	-	1497731
chr1	+	1510354
chr1	-	1533387
chr1	+	1535818
chr1	+	1550794
chr1	+	1551244
chr1	+	1550794
chr1	+	1550794
chr1	+	1550794
chr1	+	1550794
chr1	+	1550794
chr1	+	1551244
chr1	+	1551689
chr1	+	1559153
chr1	+	1560370
chr1	+	1564485
chr1	+	1567559
chr1	+	1567559
chr1	+	1568161
chr1	+	1568566
chr1	-	1571099
chr1	-	1577746
chr1	-	1586822
chr1	-	1592938
chr1	-	1601213
chr1	-	1590987
chr1	-	1592938
chr1	-	1592938
chr1	-	1601876
chr1	+	1631377
chr1	+	1631785
chr1	-	1634169
chr1	-	1634169
chr1	-	1634169
chr1	-	1571099
chr1	-	1571099
chr1	-	1647784
chr1	-	1647784
chr1	-	1640956
chr1	-	1647784
chr1	-	1571099
chr1	-	1571099
chr1	-	1571099
chr1	-	1571099
chr1	-	1571099
chr1	-	1571099
chr1	-	1634169
chr1	-	1634169
chr1	-	1635662
chr1	-	1635988
chr1	-	1637080
chr1	-	1640232
chr1	-	1640232
chr1	-	1640232
chr1	+	1656053
chr1	-	1592938
chr1	-	1656276
chr1	-	1658823
chr1	-	1682670
chr1	-	1685548
chr1	-	1682670
chr1	-	1682670
chr1	-	1682670
chr1	-	1716724
chr1	-	1716724
chr1	+	1846265
chr1	-	1849028
chr1	-	1849028
chr1	-	1853395
chr1	-	1853395
chr1	-	1886585
chr1	-	1884751
chr1	-	1915109
chr1	-	1944651
chr1	+	1950767
chr1	+	2076795
chr1	+	2112574
chr1	+	1981908
chr1	+	2005085
chr1	+	2005424
chr1	+	2036154
chr1	+	2076795
chr1	+	2100286
chr1	+	2121236
chr1	-	2115898
chr1	-	2115898
chr1	-	2115898
chr1	-	2120987
chr1	-	2120987
chr1	-	2123333
chr1	-	2115898
chr1	+	2160133
chr1	-	2281852
chr1	-	2252695
chr1	-	2263564
chr1	-	2286615
chr1	-	2309493
chr1	+	2323213
chr1	+	2323213
chr1	-	2336240
chr1	-	2336240
chr1	+	2411622
chr1	+	2407753
chr1	+	2411622
chr1	+	2430182
chr1	+	2411622
chr1	+	2411622
chr1	-	2439974
chr1	-	2439974
chr1	-	2460183
chr1	-	2481358
chr1	-	2481358
chr1	-	2481721
chr1	-	2486162
chr1	+	2487804
chr1	+	2487804
chr1	+	2487804
chr1	+	2487804
chr1	+	2517898
chr1	+	2517898
chr1	+	2518188
chr1	+	2518188
chr1	+	2518188
chr1	+	2518188
chr1	+	2518188
chr1	+	2518188
chr1	+	2518516
chr1	-	2522080
chr1	-	2522080
chr1	-	2572806
chr1	+	2938045
chr1	-	2976180
chr1	-	2980635
chr1	+	3044538
chr1	+	2985741
chr1	+	2985741
chr1	+	2985741
chr1	+	2985741
chr1	+	3388170
chr1	+	3371146
chr1	+	3382568
chr1	+	3383534
chr1	+	3388170
chr1	-	3404505
chr1	-	3477259
chr1	-	3404505
chr1	+	3541555
chr1	+	3541555
chr1	+	3541587
chr1	-	3547330
chr1	-	3547336
chr1	-	3548460
chr1	+	3614609
chr1	+	3607235
chr1	+	3569128
chr1	+	3569128
chr1	+	3569128
chr1	+	3569128
chr1	+	3569128
chr1	+	3569128
chr1	+	3607235
chr1	+	3607235
chr1	+	3607235
chr1	+	3607235
chr1	+	3607235
chr1	+	3607235
chr1	+	3614609
chr1	+	3644041
chr1	-	3652547
chr1	-	3652547
chr1	-	3652547
chr1	-	3652547
chr1	-	3652547
chr1	+	3668964
chr1	+	3689333
chr1	+	3689351
chr1	-	3696783
chr1	-	3732843
chr1	-	3728644
chr1	-	3728652
chr1	-	3750234
chr1	+	3773844
chr1	+	3773844
chr1	+	3773844
chr1	+	3773844
chr1	+	3773844
chr1	+	3773844
chr1	+	3773844
chr1	+	3773844
chr1	+	3773844
chr1	+	3773844
chr1	+	3773844
chr1	-	3805696
chr1	-	3805696
chr1	-	3808872
chr1	+	3816967
chr1	+	3816967
chr1	+	3816967
chr1	+	4000671
chr1	+	4472110
chr1	+	4715104
chr1	+	4715104
chr1	+	4847557
chr1	+	5624130
chr1	-	5621768
chr1	-	5922731
chr1	-	5922870
chr1	-	5946554
chr1	-	5922869
chr1	-	5936013
chr1	-	5937152
chr1	-	5937152
chr1	+	6086072
chr1	+	6052357
chr1	+	6086072
chr1	+	6086072
chr1	+	6094347
chr1	+	6105980
chr1	+	6105980
chr1	-	6161846
chr1	-	6161846
chr1	-	6181164
chr1	-	6161846
chr1	-	6245079
chr1	-	6245079
chr1	+	6266188
chr1	+	6268677
chr1	+	6268940
chr1	+	6266188
chr1	-	6281252
chr1	-	6281252
chr1	+	6297870
chr1	+	6304251
chr1	-	6307405
chr1	-	6324331
chr1	-	6324331
chr1	-	6324331
chr1	-	6324331
chr1	-	6324331
chr1	-	6475293
chr1	-	6472497
chr1	-	6489893
chr1	+	6484847
chr1	+	6508102
chr1	-	6521213
chr1	-	6521213
chr1	-	6521213
chr1	-	6521213
chr1	-	6521213
chr1	-	6521213
chr1	-	6521213
chr1	-	6521213
chr1	-	6521213
chr1	-	6521213
chr1	-	6524170
chr1	-	6526151
chr1	-	6526151
chr1	-	6526151
chr1	-	6526151
chr1	-	6526151
chr1	-	6526151
chr1	-	6526151
chr1	-	6526151
chr1	-	6526151
chr1	-	6526151
chr1	-	6526151
chr1	-	6526151
chr1	-	6581406
chr1	-	6581406
chr1	+	6615337
chr1	+	6615337
chr1	+	6630968
chr1	+	6640055
chr1	+	6640062
chr1	+	6640068
chr1	+	6645361
chr1	-	6650783
chr1	-	6650778
chr1	-	6650783
chr1	+	6673755
chr1	+	6684924
chr1	+	6685209
chr1	+	6685209
chr1	-	6694227
chr1	-	6694227
chr1	-	6694227
chr1	+	6845383
chr1	+	6845383
chr1	+	6845383
chr1	+	7732053
chr1	+	6845383
chr1	+	7740147
chr1	+	7796403
chr1	+	7804894
